Site ID,Site name,Relates to individual placed at non-funded non-licensed OPR?,SOR ID,Confidential private SOR,Status,SOR Initiator,Date of Serious Occurrence,Time of Serious Occurrence,Date of Report Submission,Time of Report Submission,Last Update Date,Last Update Time,Update Due Date,Revision Due Date,SOR Level,Media attention,# of individuals,# of unique non-client individuals (associated to specific COVID 19 SORs),# of unique categories,Categories
SYN-SITE-06,Synthetic Site F,N,SYN-E00018,,Closed,,2025-09-27,05:15:00,2025-09-27,06:15:00,2025-09-30,06:15:00,,,1,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00019,,Open,,2025-09-28,04:00:00,2025-10-01,05:00:00,2025-10-05,05:00:00,,,1,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00020,,Closed,,2025-09-29,01:30:00,2025-09-29,02:30:00,2025-10-03,02:30:00,,,2,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00021,,Closed,,2025-09-12,13:00:00,2025-09-12,14:00:00,2025-09-15,14:00:00,,,1,Y,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00022,,Under Review,,2025-09-30,14:30:00,2025-10-03,15:30:00,2025-10-04,15:30:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00023,,Closed,,2025-09-08,07:45:00,2025-09-10,08:45:00,2025-09-10,08:45:00,,,2,N,0,0,0,
SYN-SITE-05,Synthetic Site E,N,SYN-E00024,,Closed,,2025-09-27,03:00:00,2025-09-27,04:00:00,2025-09-30,04:00:00,,,2,N,2,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00025,,Closed,,2025-09-04,13:15:00,2025-09-05,14:15:00,2025-09-06,14:15:00,,,1,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00026,,Closed,,2025-09-10,13:00:00,2025-09-11,14:00:00,2025-09-15,14:00:00,,,2,N,3,0,4,
SYN-SITE-05,Synthetic Site E,N,SYN-E00027,,Closed,,2025-10-01,17:00:00,2025-10-01,18:00:00,2025-10-05,18:00:00,,,2,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00028,,Closed,,2025-10-03,15:45:00,2025-10-04,16:45:00,2025-10-06,16:45:00,,,1,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00029,,Closed,,2025-10-14,16:15:00,2025-10-15,17:15:00,2025-10-17,17:15:00,,,2,N,1,0,2,
SYN-SITE-04,Synthetic Site D,N,SYN-E00030,,Closed,,2025-10-30,02:45:00,2025-11-01,03:45:00,2025-11-02,03:45:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00031,,Under Review,,2025-10-25,17:45:00,2025-10-26,18:45:00,2025-10-29,18:45:00,,,2,N,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00032,,Closed,,2025-10-18,03:00:00,2025-10-21,04:00:00,2025-10-25,04:00:00,,,1,Y,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00033,,Open,,2025-10-20,02:15:00,2025-10-21,03:15:00,2025-10-24,03:15:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00034,,Closed,,2025-10-27,03:30:00,2025-10-28,04:30:00,2025-10-31,04:30:00,,,2,N,3,0,4,
SYN-SITE-02,Synthetic Site B,N,SYN-E00035,,Closed,,2025-10-10,04:00:00,2025-10-11,05:00:00,2025-10-14,05:00:00,,,1,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00036,,Closed,,2025-10-01,10:45:00,2025-10-01,11:45:00,2025-10-01,11:45:00,,,2,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00037,,Closed,,2025-10-29,11:15:00,2025-10-31,12:15:00,2025-10-31,12:15:00,,,2,N,1,0,1,
SYN-SITE-06,Synthetic Site F,N,SYN-E00038,,Closed,,2025-10-06,12:00:00,2025-10-08,13:00:00,2025-10-12,13:00:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00039,,Closed,,2025-10-02,12:00:00,2025-10-02,13:00:00,2025-10-04,13:00:00,,,1,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00040,,Open,,2025-10-05,14:45:00,2025-10-06,15:45:00,2025-10-09,15:45:00,,,1,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00041,,Under Review,,2025-10-14,08:00:00,2025-10-17,09:00:00,2025-10-18,09:00:00,,,1,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00042,,Under Review,,2025-10-01,11:30:00,2025-10-02,12:30:00,2025-10-02,12:30:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00043,,Open,,2025-10-19,00:30:00,2025-10-19,01:30:00,2025-10-22,01:30:00,,,1,N,2,0,3,
SYN-SITE-05,Synthetic Site E,N,SYN-E00044,,Open,,2025-10-10,01:45:00,2025-10-13,02:45:00,2025-10-13,02:45:00,,,2,N,3,0,4,
SYN-SITE-06,Synthetic Site F,N,SYN-E00045,,Closed,,2025-10-22,01:45:00,2025-10-22,02:45:00,2025-10-25,02:45:00,,,1,N,2,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00046,,Open,,2025-10-05,15:45:00,2025-10-07,16:45:00,2025-10-09,16:45:00,,,2,N,0,0,0,
SYN-SITE-02,Synthetic Site B,N,SYN-E00047,,Under Review,,2025-10-04,09:30:00,2025-10-04,10:30:00,2025-10-08,10:30:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00048,,Closed,,2025-10-14,08:15:00,2025-10-14,09:15:00,2025-10-14,09:15:00,,,2,Y,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00049,,Closed,,2025-10-11,01:30:00,2025-10-13,02:30:00,2025-10-17,02:30:00,,,1,Y,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00050,,Open,,2025-10-28,17:45:00,2025-10-28,18:45:00,2025-10-31,18:45:00,,,1,Y,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00051,,Closed,,2025-10-01,05:30:00,2025-10-01,06:30:00,2025-10-05,06:30:00,,,2,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00052,,Under Review,,2025-10-28,11:15:00,2025-10-29,12:15:00,2025-10-30,12:15:00,,,1,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00053,,Closed,,2025-10-11,14:00:00,2025-10-16,15:00:00,2025-10-19,15:00:00,,,2,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00054,,Closed,,2025-10-09,11:00:00,2025-10-09,12:00:00,2025-10-12,12:00:00,,,2,N,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00055,,Open,,2025-10-30,04:30:00,2025-11-06,05:30:00,2025-11-07,05:30:00,,,1,N,1,0,1,
SYN-SITE-06,Synthetic Site F,N,SYN-E00056,,Closed,,2025-10-26,11:45:00,2025-10-31,12:45:00,2025-11-03,12:45:00,,,1,N,2,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00057,,Open,,2025-10-17,05:45:00,2025-10-19,06:45:00,2025-10-20,06:45:00,,,1,N,1,0,1,
SYN-SITE-06,Synthetic Site F,N,SYN-E00058,,Closed,,2025-11-08,09:00:00,2025-11-09,10:00:00,2025-11-09,10:00:00,,,2,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00059,,Closed,,2025-11-09,15:00:00,2025-11-10,16:00:00,2025-11-10,16:00:00,,,2,N,1,0,2,
SYN-SITE-06,Synthetic Site F,N,SYN-E00060,,Under Review,,2025-11-30,18:45:00,2025-11-30,19:45:00,2025-12-02,19:45:00,,,1,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00061,,Closed,,2025-11-16,19:15:00,2025-11-16,20:15:00,2025-11-17,20:15:00,,,2,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00062,,Open,,2025-11-20,19:30:00,2025-11-25,20:30:00,2025-11-27,20:30:00,,,1,N,1,0,1,
SYN-SITE-06,Synthetic Site F,N,SYN-E00063,,Under Review,,2025-11-20,03:15:00,2025-11-20,04:15:00,2025-11-24,04:15:00,,,1,N,2,0,3,
SYN-SITE-05,Synthetic Site E,N,SYN-E00064,,Under Review,,2025-11-19,08:15:00,2025-11-19,09:15:00,2025-11-23,09:15:00,,,1,Y,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00065,,Closed,,2025-11-03,03:45:00,2025-11-04,04:45:00,2025-11-08,04:45:00,,,1,N,2,0,3,
SYN-SITE-06,Synthetic Site F,N,SYN-E00066,,Closed,,2025-11-15,06:15:00,2025-11-15,07:15:00,2025-11-16,07:15:00,,,2,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00067,,Open,,2025-11-01,10:15:00,2025-11-04,11:15:00,2025-11-04,11:15:00,,,1,N,2,0,3,
SYN-SITE-06,Synthetic Site F,N,SYN-E00068,,Under Review,,2025-11-28,04:00:00,2025-11-29,05:00:00,2025-11-29,05:00:00,,,1,Y,2,0,3,
SYN-SITE-05,Synthetic Site E,N,SYN-E00069,,Open,,2025-11-03,00:00:00,2025-11-04,01:00:00,2025-11-05,01:00:00,,,1,N,0,0,0,
SYN-SITE-05,Synthetic Site E,N,SYN-E00070,,Closed,,2025-11-18,14:00:00,2025-11-19,15:00:00,2025-11-23,15:00:00,,,1,Y,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00071,,Open,,2025-11-29,06:30:00,2025-12-02,07:30:00,2025-12-06,07:30:00,,,1,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00072,,Under Review,,2025-11-10,14:00:00,2025-11-11,15:00:00,2025-11-13,15:00:00,,,1,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00073,,Open,,2025-11-01,20:30:00,2025-11-04,21:30:00,2025-11-04,21:30:00,,,2,Y,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00074,,Under Review,,2025-11-03,07:15:00,2025-11-03,08:15:00,2025-11-03,08:15:00,,,2,N,3,0,3,
SYN-SITE-04,Synthetic Site D,N,SYN-E00075,,Under Review,,2025-11-19,20:30:00,2025-11-20,21:30:00,2025-11-23,21:30:00,,,2,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00076,,Under Review,,2025-11-23,13:15:00,2025-11-24,14:15:00,2025-11-25,14:15:00,,,2,N,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00077,,Under Review,,2025-11-17,15:45:00,2025-11-17,16:45:00,2025-11-19,16:45:00,,,1,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00078,,Under Review,,2025-11-11,20:15:00,2025-11-16,21:15:00,2025-11-18,21:15:00,,,1,N,3,0,4,
SYN-SITE-03,Synthetic Site C,N,SYN-E00079,,Closed,,2025-11-21,11:45:00,2025-11-21,12:45:00,2025-11-25,12:45:00,,,2,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00080,,Closed,,2025-11-04,00:00:00,2025-11-05,01:00:00,2025-11-09,01:00:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00081,,Closed,,2025-11-23,17:30:00,2025-11-25,18:30:00,2025-11-28,18:30:00,,,2,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00082,,Closed,,2025-11-05,01:00:00,2025-11-06,02:00:00,2025-11-10,02:00:00,,,2,N,1,0,2,
SYN-SITE-06,Synthetic Site F,N,SYN-E00083,,Open,,2025-11-07,17:15:00,2025-11-07,18:15:00,2025-11-11,18:15:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00084,,Closed,,2025-11-12,03:45:00,2025-11-13,04:45:00,2025-11-16,04:45:00,,,2,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00085,,Closed,,2025-11-13,15:45:00,2025-11-18,16:45:00,2025-11-22,16:45:00,,,1,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00086,,Under Review,,2025-12-01,08:00:00,2025-12-03,09:00:00,2025-12-05,09:00:00,,,1,N,2,0,3,
SYN-SITE-05,Synthetic Site E,N,SYN-E00087,,Under Review,,2025-12-01,10:00:00,2025-12-02,11:00:00,2025-12-05,11:00:00,,,1,Y,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00088,,Closed,,2025-12-12,05:45:00,2025-12-14,06:45:00,2025-12-15,06:45:00,,,2,N,1,0,1,
SYN-SITE-04,Synthetic Site D,N,SYN-E00089,,Open,,2025-12-28,20:45:00,2025-12-29,21:45:00,2025-12-29,21:45:00,,,2,Y,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00090,,Under Review,,2025-12-21,04:00:00,2025-12-21,05:00:00,2025-12-22,05:00:00,,,1,N,2,0,3,
SYN-SITE-04,Synthetic Site D,N,SYN-E00091,,Closed,,2025-12-19,12:15:00,2025-12-20,13:15:00,2025-12-23,13:15:00,,,1,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00092,,Under Review,,2025-12-18,13:15:00,2025-12-18,14:15:00,2025-12-18,14:15:00,,,2,N,0,0,0,
SYN-SITE-02,Synthetic Site B,N,SYN-E00093,,Open,,2025-12-31,17:45:00,2025-12-31,18:45:00,2026-01-02,18:45:00,,,2,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00094,,Closed,,2025-12-26,06:45:00,2025-12-29,07:45:00,2025-12-29,07:45:00,,,2,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00095,,Under Review,,2025-12-24,07:45:00,2025-12-25,08:45:00,2025-12-25,08:45:00,,,1,Y,1,0,2,
SYN-SITE-04,Synthetic Site D,N,SYN-E00096,,Closed,,2025-12-01,19:15:00,2025-12-03,20:15:00,2025-12-06,20:15:00,,,2,N,3,0,4,
SYN-SITE-02,Synthetic Site B,N,SYN-E00097,,Open,,2025-12-10,14:45:00,2025-12-10,15:45:00,2025-12-14,15:45:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00098,,Closed,,2025-12-19,09:45:00,2025-12-19,10:45:00,2025-12-20,10:45:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00099,,Open,,2025-12-10,00:00:00,2025-12-11,01:00:00,2025-12-15,01:00:00,,,2,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00100,,Under Review,,2025-12-21,13:30:00,2025-12-21,14:30:00,2025-12-25,14:30:00,,,2,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00101,,Closed,,2025-12-31,01:30:00,2025-12-31,02:30:00,2025-12-31,02:30:00,,,2,N,2,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00102,,Open,,2025-12-18,10:45:00,2025-12-19,11:45:00,2025-12-19,11:45:00,,,1,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00103,,Under Review,,2025-12-12,06:15:00,2025-12-13,07:15:00,2025-12-17,07:15:00,,,2,N,1,0,2,
SYN-SITE-04,Synthetic Site D,N,SYN-E00104,,Closed,,2025-12-13,15:30:00,2025-12-15,16:30:00,2025-12-15,16:30:00,,,1,Y,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00105,,Under Review,,2025-12-01,09:30:00,2025-12-02,10:30:00,2025-12-06,10:30:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00106,,Under Review,,2025-12-22,17:30:00,2025-12-23,18:30:00,2025-12-24,18:30:00,,,1,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00107,,Under Review,,2025-12-04,11:00:00,2025-12-04,12:00:00,2025-12-05,12:00:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00108,,Open,,2025-12-28,14:45:00,2026-01-02,15:45:00,2026-01-04,15:45:00,,,2,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00109,,Closed,,2025-12-13,17:00:00,2025-12-13,18:00:00,2025-12-16,18:00:00,,,2,N,2,0,3,
SYN-SITE-05,Synthetic Site E,N,SYN-E00110,,Under Review,,2025-12-02,09:00:00,2025-12-04,10:00:00,2025-12-08,10:00:00,,,2,N,3,0,4,
SYN-SITE-05,Synthetic Site E,N,SYN-E00111,,Open,,2025-12-07,11:30:00,2025-12-09,12:30:00,2025-12-13,12:30:00,,,1,N,2,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00112,,Open,,2025-12-21,01:00:00,2025-12-21,02:00:00,2025-12-23,02:00:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00113,,Under Review,,2025-12-11,12:00:00,2025-12-11,13:00:00,2025-12-13,13:00:00,,,1,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00114,,Closed,,2025-12-03,02:00:00,2025-12-04,03:00:00,2025-12-04,03:00:00,,,1,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00115,,Closed,,2025-12-30,05:45:00,2025-12-30,06:45:00,2025-12-30,06:45:00,,,1,Y,0,0,0,
SYN-SITE-01,Synthetic Site A,N,SYN-E00116,,Closed,,2025-12-10,15:00:00,2025-12-11,16:00:00,2025-12-13,16:00:00,,,1,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00117,,Closed,,2025-12-03,06:00:00,2025-12-03,07:00:00,2025-12-05,07:00:00,,,2,N,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00118,,Closed,,2025-12-06,13:00:00,2025-12-07,14:00:00,2025-12-09,14:00:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00119,,Closed,,2025-12-24,05:30:00,2025-12-24,06:30:00,2025-12-26,06:30:00,,,1,N,1,0,2,
SYN-SITE-05,Synthetic Site E,N,SYN-E00120,,Under Review,,2025-12-19,16:45:00,2025-12-22,17:45:00,2025-12-25,17:45:00,,,1,N,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00121,,Closed,,2026-01-25,11:45:00,2026-01-25,12:45:00,2026-01-27,12:45:00,,,1,N,2,0,3,
SYN-SITE-06,Synthetic Site F,N,SYN-E00122,,Closed,,2026-01-03,17:30:00,2026-01-04,18:30:00,2026-01-08,18:30:00,,,1,N,2,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00123,,Closed,,2026-01-23,04:00:00,2026-01-24,05:00:00,2026-01-27,05:00:00,,,2,N,1,0,2,
SYN-SITE-06,Synthetic Site F,N,SYN-E00124,,Closed,,2026-01-18,12:00:00,2026-01-19,13:00:00,2026-01-23,13:00:00,,,2,N,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00125,,Closed,,2026-01-09,08:15:00,2026-01-10,09:15:00,2026-01-11,09:15:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00126,,Closed,,2026-01-28,18:45:00,2026-01-29,19:45:00,2026-01-30,19:45:00,,,1,N,1,0,2,
SYN-SITE-04,Synthetic Site D,N,SYN-E00127,,Closed,,2026-01-14,11:45:00,2026-01-15,12:45:00,2026-01-16,12:45:00,,,2,N,1,0,1,
SYN-SITE-05,Synthetic Site E,N,SYN-E00128,,Open,,2026-01-01,07:00:00,2026-01-04,08:00:00,2026-01-06,08:00:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00129,,Closed,,2026-01-31,05:45:00,2026-02-01,06:45:00,2026-02-03,06:45:00,,,2,N,3,0,4,
SYN-SITE-04,Synthetic Site D,N,SYN-E00130,,Under Review,,2026-01-09,18:45:00,2026-01-10,19:45:00,2026-01-10,19:45:00,,,1,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00131,,Under Review,,2026-01-13,13:45:00,2026-01-13,14:45:00,2026-01-14,14:45:00,,,2,Y,3,0,4,
SYN-SITE-02,Synthetic Site B,N,SYN-E00132,,Under Review,,2026-01-06,02:15:00,2026-01-08,03:15:00,2026-01-12,03:15:00,,,2,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00133,,Closed,,2026-01-05,18:15:00,2026-01-05,19:15:00,2026-01-09,19:15:00,,,1,N,1,0,2,
SYN-SITE-03,Synthetic Site C,N,SYN-E00134,,Closed,,2026-01-18,04:15:00,2026-01-23,05:15:00,2026-01-25,05:15:00,,,1,N,2,0,3,
SYN-SITE-02,Synthetic Site B,N,SYN-E00135,,Closed,,2026-01-12,10:30:00,2026-01-13,11:30:00,2026-01-15,11:30:00,,,1,N,3,0,4,
SYN-SITE-01,Synthetic Site A,N,SYN-E00136,,Closed,,2026-01-11,17:00:00,2026-01-13,18:00:00,2026-01-14,18:00:00,,,1,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00137,,Under Review,,2026-01-26,08:15:00,2026-01-27,09:15:00,2026-01-31,09:15:00,,,1,Y,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00138,,Closed,,2026-01-08,05:00:00,2026-01-10,06:00:00,2026-01-13,06:00:00,,,1,N,0,0,0,
SYN-SITE-01,Synthetic Site A,N,SYN-E00139,,Closed,,2026-01-31,13:45:00,2026-01-31,14:45:00,2026-02-01,14:45:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00140,,Closed,,2026-01-24,14:00:00,2026-01-26,15:00:00,2026-01-26,15:00:00,,,1,Y,1,0,2,
SYN-SITE-02,Synthetic Site B,N,SYN-E00141,,Open,,2026-01-23,08:30:00,2026-01-23,09:30:00,2026-01-25,09:30:00,,,2,N,2,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00142,,Closed,,2026-01-12,10:30:00,2026-01-15,11:30:00,2026-01-15,11:30:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00143,,Closed,,2026-01-12,13:15:00,2026-01-14,14:15:00,2026-01-14,14:15:00,,,1,N,2,0,3,
SYN-SITE-03,Synthetic Site C,N,SYN-E00144,,Closed,,2026-01-21,09:30:00,2026-01-24,10:30:00,2026-01-27,10:30:00,,,2,Y,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00145,,Open,,2026-01-04,15:45:00,2026-01-05,16:45:00,2026-01-07,16:45:00,,,1,N,1,0,1,
SYN-SITE-06,Synthetic Site F,N,SYN-E00146,,Closed,,2026-01-21,16:45:00,2026-01-22,17:45:00,2026-01-26,17:45:00,,,1,N,1,0,1,
SYN-SITE-03,Synthetic Site C,N,SYN-E00147,,Closed,,2026-01-29,14:00:00,2026-01-29,15:00:00,2026-02-01,15:00:00,,,1,N,1,0,1,
SYN-SITE-02,Synthetic Site B,N,SYN-E00148,,Open,,2026-01-04,10:45:00,2026-01-05,11:45:00,2026-01-07,11:45:00,,,1,N,3,0,3,
SYN-SITE-01,Synthetic Site A,N,SYN-E00149,,Closed,,2026-01-31,20:00:00,2026-02-02,21:00:00,2026-02-05,21:00:00,,,2,Y,2,0,3,
SYN-SITE-05,Synthetic Site E,N,SYN-E00150,,Closed,,2026-01-27,08:45:00,2026-01-27,09:45:00,2026-01-31,09:45:00,,,2,N,1,0,2,
SYN-SITE-06,Synthetic Site F,N,SYN-E00151,,Under Review,,2026-02-02,15:15:00,2026-02-02,16:15:00,2026-02-04,16:15:00,,,2,N,1,0,2,
SYN-SITE-01,Synthetic Site A,N,SYN-E00152,,Closed,,2026-02-09,15:30:00,2026-02-10,16:30:00,2026-02-14,16:30:00,,,2,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00153,,Closed,,2026-02-20,14:15:00,2026-02-22,15:15:00,2026-02-23,15:15:00,,,1,N,2,0,3,
SYN-SITE-06,Synthetic Site F,N,SYN-E00154,,Open,,2026-02-19,09:15:00,2026-02-20,10:15:00,2026-02-20,10:15:00,,,2,N,1,0,1,
SYN-SITE-01,Synthetic Site A,N,SYN-E00155,,Closed,,2026-02-07,10:00:00,2026-02-08,11:00:00,2026-02-11,11:00:00,,,1,Y,1,0,2,
SYN-SITE-04,Synthetic Site D,N,SYN-E00156,,Open,,2026-02-25,08:30:00,2026-02-26,09:30:00,2026-02-26,09:30:00,,,2,N,1,0,2,
